fold_id,n_train,n_test,cindex_cox,cindex_rsf,event_rate_train,event_rate_test
13,437,109,0.0881399870382372,0.8716785482825664,0.2242562929061785,0.22018348623853212
10,437,109,0.08683274021352314,0.8704626334519573,0.2219679633867277,0.22935779816513763
3,437,109,0.08182386008744534,0.8182386008744534,0.2242562929061785,0.22018348623853212
12,437,109,0.0568793235972329,0.8554957724827056,0.2242562929061785,0.22018348623853212
9,437,109,0.056100981767180924,0.8590462833099579,0.2242562929061785,0.22018348623853212
2,437,109,0.0557909604519774,0.8721751412429378,0.2242562929061785,0.22018348623853212
7,437,109,0.05395417590539542,0.8691796008869179,0.2242562929061785,0.22018348623853212
5,437,109,0.04796511627906977,0.8742732558139535,0.2219679633867277,0.22935779816513763
1,436,110,0.0471311475409836,0.869535519125683,0.22247706422018348,0.22727272727272727
14,437,109,0.04449307075127644,0.8745441283734501,0.2242562929061785,0.22018348623853212
11,436,110,0.04150943396226415,0.8513207547169811,0.22247706422018348,0.22727272727272727
6,436,110,0.03922918100481762,0.9036476256022024,0.22247706422018348,0.22727272727272727
4,437,109,0.036676646706586824,0.8854790419161677,0.2242562929061785,0.22018348623853212
15,437,109,0.03639728562615669,0.8883405305367057,0.2219679633867277,0.22935779816513763
8,437,109,0.033952594490711085,0.8673926969891096,0.2242562929061785,0.22018348623853212
