oof_prob_rf,oof_prob_lr
0.4085264559941729,0.24743992548029928
0.42167612678746613,0.09863447524275874
0.3458448729387388,0.28676139536316575
0.5292056950284162,0.18265111382362728
0.43414221867530545,0.9942463943592508
0.3498664678505977,0.20245797033582066
0.48196656965940343,0.37392509360814286
0.31937434907646906,0.19206527876213228
0.2879412102997741,0.023038434145892597
0.4167441880762501,0.12470140365224502
0.2767341900830688,0.24648176434749175
0.2689462361274968,0.9999999996941162
0.49422700198182173,0.4734418682130068
0.308050608943582,0.055363917910627836
0.7326019618753981,0.6830813216095877
0.7594163140324693,0.9999999999999964
0.6547614780960668,0.38800690575303926
0.6487242011769211,0.43939944828787963
0.2627119193660049,0.05629262311182125
0.3004807767116753,0.330517016046613
0.3525731190915487,0.10038606204897273
0.20372291006308363,0.14264888051141508
0.20656749018132878,0.2447483096069645
0.48007484955445395,0.29332744202711664
0.3681151666054166,0.039756574280139
0.3277861888718276,0.2782002594263855
0.3280912304284804,0.3679158344158071
0.5584556121147489,0.1815620900315191
0.4374047419955387,0.11409375612250353
0.19718799075603213,0.033261236363355935
0.5571652334136545,1.0
0.19166089438962744,0.5789467650344315
0.34854018564641537,0.19097563702541553
0.3724298765297001,0.28848119915810205
0.2524717559502991,0.016781581047983867
0.3305198993581307,0.11117610938315287
0.3482327678770105,0.11751797765070415
0.340081804490007,0.04160573405048119
0.4213383805205884,0.23682577117273726
0.6143859169862802,0.30742551881448016
0.15464248146364773,0.21262410335145088
0.2812577558692938,0.23257262970281442
0.45983782609064183,0.41865705743243337
0.49321909119581575,0.9999971050004908
0.37198075439382233,0.41358101045270396
0.3683054466765031,0.5285642954576452
0.4115097800754371,0.09167465062667529
0.7591061002451711,0.9999993688029681
0.39680821501744734,0.9999999622021344
0.7733067595910187,0.9999967794363652
0.24373562721236003,0.11666867297082285
0.6921515462475621,0.9991345969532873
0.4389005937022286,0.34298508051067467
0.3142161331517528,0.1815573804991566
0.2784062590766374,0.18779567149051846
0.12081963370695455,0.13016210817769075
0.4418032169346082,0.19911825808889225
0.4057504145939474,0.19669252803281742
0.5102687765236752,0.5030720391233037
0.5910590033095522,1.0
0.15169973192825434,0.13178626875249494
0.2562406396770639,0.2921546093364551
0.25440241889738285,0.13209264462696665
0.8323132089806751,1.0
0.34443436317160575,0.16632635716478072
0.23615507844153066,0.07064034258189975
0.3342372980568338,0.04226358662154983
0.35336453704046944,0.216431186431769
0.2854586874019001,0.18808782582140843
0.291097162953973,0.05106733542134511
0.3376634548654651,0.04872753287826069
0.1726226489329743,0.15320329886425196
0.6480678030869071,1.0
0.2004956411855647,0.12564610742864973
0.287007671520252,0.01686304982686618
0.7734404385937677,1.0
0.3102850947979267,0.3351151680431039
0.31647456022707765,0.1239809821878194
0.7992929502529774,1.0
0.3440876763387489,0.08317839538763058
0.7501083884019709,0.996681186028791
0.4543580146914648,0.3241286639217458
0.10240296377471879,0.14181876143193056
0.373204598357529,0.9999933682959067
0.1406054160352481,0.12975756709280778
0.28355376145385164,0.07970855606671172
0.6404546145946158,0.9999994809781583
0.4472731250276869,0.9975052686643759
0.27885134741791956,0.005601206331467179
0.5520978537483658,0.9999999999999996
0.282103914405496,0.08122075367068705
0.4989354644097938,1.0
0.36513204302346786,0.08361092565979705
0.5582634199127753,0.13187379230142882
0.35921430307498825,0.9747621791561346
0.5651679637007497,1.0
0.2757982928721788,0.10424729540114745
0.2881887021122204,0.015634358951674945
0.23083696280578625,0.05419841186800575
0.4088218174338043,0.09303717101816096
0.5232770572182384,1.0
0.26550664217396364,0.03944205323386218
0.10689109825055841,0.07406639219592916
0.4466604980075431,0.19680882141195682
0.41662839859310785,0.15829437637306445
0.4494139455027603,0.9999988046616095
0.37334602303717596,0.29917178197709776
0.4535125215568398,0.30490413092026125
0.26308080790584404,0.4029521014698782
0.3166351989716507,0.31202371190604156
0.3592283381525422,0.46299248331915915
0.2741380495953933,0.19096405155004775
0.37590081895939975,0.2952693494195391
0.3659487956278694,0.0378190615902118
0.5598789736405068,0.9997772895664608
0.591239070888824,0.9893842105444114
0.17990009019821096,0.04467059115184072
0.36591186408355175,1.0
0.37404728921477537,0.1169763046924343
0.27389897447431016,0.1415770497327223
0.32661284103043603,0.2882938285783198
0.5988739036241142,0.9999999999979197
0.24360917620561684,0.09860617739396645
0.39233717080929975,0.07916436635295898
0.601192303854107,0.9636730361001385
0.24840197854070384,0.06489807323735476
0.2872059416827097,0.25605114281262276
0.2284280905304121,0.43439540240545693
0.27037333550720427,0.047730909370648014
0.20588406965333947,0.17647228413975957
0.6745901386257284,1.0
0.13280330081920225,0.139925445985588
0.4116398714520026,0.21398583489011022
0.6556519954853759,0.9999425031466386
0.3442500530422403,0.04152459529359027
0.30627361937029696,0.07040807620731107
0.6479595316206693,1.0
0.37752982827227966,0.40149780495077486
0.3258296024182148,0.08082709579978314
0.2437350649287018,0.0015150540681544305
0.2005602821382823,0.137270227270105
0.4355676460996517,0.2779968980183631
0.4853349376231069,0.19647461490077522
0.2803661182281,0.013453210988102884
0.44764221856428404,0.15630697804013785
0.6145482389294529,1.0
0.5029298736452817,0.9982291360641333
0.7077294946713536,1.0
0.15988350494368506,0.13936885298159576
0.42251024354589306,0.2701444419375989
0.24466646065071118,0.17559599634485448
0.38247701642791915,0.1010444021562316
0.23967355606217763,0.032109069922738896
0.5151847315665238,0.6405724323659183
0.34921556512841556,0.21478517468767125
0.14879295925315175,0.10184779783243503
0.26793101423172766,0.19850848850259997
0.5794755558960679,0.9999999999962836
0.5319232193723817,0.9999893161929161
0.31339562345584704,0.21587467805306498
0.2761680651230493,0.07956055334264481
0.5930838008785602,0.9999997778471527
0.3550062888022435,0.11106044693653055
0.20152239232771538,0.8175028601427072
0.22135302379904756,0.06832136485680271
0.5083671569515918,1.0
0.4301246970886663,0.19299140668360634
0.5650110282250733,0.9118279529365393
0.27912980095223944,0.18883699857298022
0.2671524804732194,0.08515400675914096
0.24471793561291996,0.05327033433319491
0.3845306283593195,0.1318356673511252
0.49008103308894346,1.0
0.48742694349181426,0.22903373982377545
0.48403596032504526,0.26407922452010507
0.3087633676724297,0.010078948487345817
0.43144512115049044,0.40711379493888783
0.31498987652736343,0.05595700970603987
0.4491831059250261,0.20070296328354922
0.21786219841342588,0.09787440333481505
0.36033853171122826,0.20682431172215168
0.24283055291865757,0.0751687747150995
0.435392006439744,0.26094613251677484
0.3639035231714025,0.5524948065124062
0.40140144429450375,0.3535042371615131
0.3860341631275641,0.19681626655702697
0.3247048830212211,0.16271036691246746
0.4527895600471349,0.5926557206764249
0.3586169135284967,0.38222302526876434
0.45652079767411713,0.4027906522214034
0.23269315222970205,0.3138341346415207
0.3849762881350438,0.1815948013464582
0.3417301906571183,0.17664196322585482
0.5223592639324525,0.41655527433502176
0.5834603605587929,1.0
0.37636910758179165,0.32451178075535997
0.3333452298986744,0.12642369201863074
0.5594349039604729,1.0
0.4383075899154165,0.2571268194197835
0.3234426673905261,0.42621810617289035
0.30883735004438545,0.06606698183968929
0.07291399223542122,0.027404208170587
0.275184990616771,0.12861036075869908
0.22666933285792557,0.05583771073914096
0.2861998155385247,0.27134879073600165
0.4958261273571239,0.9844900189502294
0.27723814502399957,0.2448828411616981
0.2575712343481311,0.1130845257547297
0.26701859833287456,0.07516330063660419
0.2734965801032651,0.29304949020968635
0.3929543179633827,0.4785508528306467
0.6726872088750514,0.999986581981959
0.22470849696407494,0.06465263661823059
0.31750080567513794,0.06242655923543624
0.4893482905554887,0.9905499612865112
0.4860597399339804,0.95852780207667
0.16001384724091425,0.1960166496977723
0.2909102247802694,0.03196750043006347
0.2237464314599923,0.06127501674615483
0.43191719463819644,0.25946955097764035
0.4312205930719627,0.21600646364687878
0.4516231970945521,0.999951153968222
0.24234442484623236,0.03444614510990429
0.49221578236256786,0.11267266926322395
0.35381142710616015,0.14057372597593296
0.3560252599763377,0.06424754196338123
0.3342066664754149,0.21630805100956071
0.32301079435082103,0.0947034683277621
0.2650463641842249,0.023661641046047028
0.4793177336106922,0.1399221454903107
0.31985833001228275,0.15618612313522387
0.4642050744412065,0.3692398305598627
0.3805436297559451,0.1415516087067172
0.39289447023020235,0.7202178582617724
0.3966090498286581,0.4098383036399876
0.33820514068455243,0.07747082532523084
0.1974054460738089,0.13132547521725896
0.2654367949893438,0.2832426961590612
0.49289645564733275,0.5546829829280406
0.46104523097075717,0.17150469538714805
0.5706964863786207,0.7198204134512858
0.33506758818609156,0.2486455744188241
0.35614875522568257,0.1847967522638052
0.36735204346956934,0.21112399050212796
0.3953585423514204,0.2019173970478227
0.34544558249876345,0.29872449669537443
0.6623946257415088,0.43038648261491874
0.34782592563096565,0.23117952162181643
0.3424881965359351,0.12281352010706299
0.32793918298483477,0.3888381748081241
0.256490681035533,0.2090683622527289
0.4548773324088129,0.21148336016674046
0.4544931556664269,0.5064981440541254
0.36240311444146495,0.17594493548097953
0.36862425663957277,0.2298029524256779
0.3512601454088348,0.2731634868099246
0.16282697725386686,0.13807876056379298
0.3662967120526809,0.15214256363625983
0.3658026526879297,0.3251508520889308
0.31808115634504674,0.3158149179109723
0.2966002777678078,0.027972714511236053
0.1924442065127721,0.08695306132793847
0.15812195614124874,0.1477848063210923
0.3835857243475809,0.37902568578996854
0.26669141101505306,0.2629620195563685
0.4928140045562192,0.5584861986408506
0.23610045656558215,0.24100167973966644
0.3272265144546195,0.07426543027461797
0.3466594376721519,0.10515234581039293
0.34009573709792035,0.18830672721062588
0.24846275172524765,0.04525729806753422
0.17138086454516097,0.11731992745483724
0.09169903751611035,0.0628006122340318
0.3197315820405691,0.0734200330670127
0.3617087512116261,0.13483001179838025
0.23190963566493394,0.300249900953078
0.2605661748626482,0.0894834517060017
0.4076696000533195,0.9999999922132875
0.07007265000823511,0.07046769411095577
0.33778440985543734,0.13578921740882946
0.25124100961787194,0.26748003177848023
0.5852809034424713,0.9998182090672948
0.14562963930406292,0.137466801393276
0.37505686942081234,0.20813338840295018
0.46165362372166063,0.35373756229386655
0.20402765497667333,0.023592468263724395
0.3927713648722726,0.12694092909713967
0.416365311771053,0.2368177771418794
0.5888702780984217,0.9999999877945654
0.28896828422984044,0.1642750133368748
0.314159594345918,0.14675086656016087
0.22633172300288126,0.1965596711206325
0.2518039035225955,0.15602567418441696
0.23356849476451294,0.5140710968136616
0.3328274509300777,0.2868170689743838
0.33592883936509105,0.15429630479798595
0.3819029395384471,0.8352808442478447
0.3809657470975466,0.7372662079140038
0.280291658863949,0.05308613939408042
0.3476682789095455,0.8993210920454544
0.2323840438316305,0.1529554558499137
0.24117766906695762,0.08033790077145446
0.27090722570050607,0.5966795457107142
0.27804934452399016,0.25910625374575347
0.2865288386064,0.10993477703322738
0.25966596100878025,0.12654521601494284
0.3610964326735457,0.049194711518041945
0.4410449762856441,0.22288779384290244
0.3607505985641046,0.257040486576679
0.250731874681993,0.11197657155804346
0.3133828518837839,0.07578899067712343
0.22251381889044594,0.19539136627697296
0.4549254034039616,0.5889110418686213
0.3038105702408325,0.22638318718508096
0.36160450861875243,0.03523024782167353
0.23016308268794664,0.18110829618669386
